,modern,original
2261,"Farewell, sir.","God rest you merry, sir."
2262,Our master and mistress are looking for you.,Our master and mistress seeks you.
2263,Let’s go.,"Come away, away."
2264,"Hurry up, Audrey, hurry.—I’m coming, I’m coming.","Trip, Audrey, trip, Audrey.—I attend, I attend."
2265,"Mistress, you have to go see your father.","Mistress, you must come away to your father."
2266,Did they make you the messenger?,Were you made the messenger?
2267,"From a certain knight who swore on his honor that the pancakes he was eating were good, and that the mustard on top of them—he swore on his honor—was bad.","Of a certain knight that swore by his honor they were good pancakes, and swore by his honor the mustard was naught."
2268,"Now, I’ll swear to the opposite—that the pancakes were rotten, and the mustard was fine—but even so, the knight wasn’t lying.","Now, I’ll stand to it, the pancakes were naught and the mustard was good, and yet was not the knight forsworn."
2269,"And how, out of your great heap of knowledge, will you manage to prove that?",How prove you that in the great heap of your knowledge?
2270,"Yes, please; unleash your wisdom.","Ay, marry, now unmuzzle your wisdom."
2271,Watch me: stroke your chins and swear by your beards that I am a knave.,Stand you both forth now: stroke your chins and swear by your beards that I am a knave.
2272,"By our beards (if we had them), you are a knave.","By our beards (if we had them), thou art."
2273,And I swear by my wickedness (if I had any) that I am a knave.,"By my knavery (if I had it), then I were."
2274,Is it really possible that you could like her right after meeting her?,Is ’t possible that on so little acquaintance you should like her?
2275,"It will be to your advantage, because I’ll leave our father’s house and all his property to you, while I live and die a shepherd here in the forest.","It shall be to your good, for my father’s house and all the revenue that was old Sir Rowland’s will I estate upon you, and here live and die a shepherd."
2276,You have my consent.,You have my consent.
2277,You can be married tomorrow if you want.,Let your wedding be tomorrow.
2278,I’ll invite the duke and all of his followers.,Thither will I invite the duke and all’s contented followers.
2279,"Go get Aliena ready—because, look, here comes my Rosalind.","Go you and prepare Aliena, for look you, here comes my Rosalind."
2280,"And hello to you, fair sister.","And you, fair sister."
2281,"Oh, darling Orlando, it’s so hard to see you wearing your heart in a sling.","O my dear Orlando, how it grieves me to see thee wear thy heart in a scarf."
2282,"Actually, it’s my arm.",It is my arm.
2283,I thought your heart had been wounded by a lion’s claws.,I thought thy heart had been wounded with the claws of a lion.
2284,They’re in the heat of passion; they simply have to be together.,"They are in the very wrath of love, and they will together."
2285,You couldn’t beat the two of them apart.,Clubs cannot part them.
2286,"They’ll be married tomorrow, and I’ll invite the duke to the ceremony.","They shall be married tomorrow, and I will bid the duke to the nuptial."
2287,"But, oh, it makes me bitter to look at happiness through another man’s eyes.","But Oh, how bitter a thing it is to look into happiness through another man’s eyes."
2288,"Tomorrow I’ll be at the depths of my misery thinking about the happiness my brother has achieved, in having what he wished for.","By so much the more shall I tomorrow be at the height of heart-heaviness, by how much I shall think my brother happy in having what he wishes for."
2289,"Well then, can’t I act as Rosalind for you tomorrow?","Why, then, tomorrow I cannot serve your turn for Rosalind?"
2290,I can’t live by pretending anymore.,I can live no longer by thinking.
2291,I won’t exhaust you anymore with idle chitchat.,I will weary you then no longer with idle talking.
2292,You should know that I think you’re a smart man.,"I speak not this that you should bear a good opinion of my knowledge, insomuch I say I know you are."
2293,"Believe me, then, that I have special powers.","Believe then, if you please, that I can do strange things."
2294,"Since I was three years old, I’ve been in contact with a powerful but virtuous magician—no black magic here.","I have, since I was three year old, conversed with a magician, most profound in his art and yet not damnable."
2295,"If you love Rosalind as much as you say you do, you will marry her when your brother marries Aliena.","If you do love Rosalind so near the heart as your gesture cries it out, when your brother marries Aliena shall you marry her."
2296,"I know where she is and, if you don’t mind, I will set her before you tomorrow, whole and unharmed.","I know into what straits of fortune she is driven, and it is not impossible to me, if it appear not inconvenient to you, to set her before your eyes tomorrow, human as she is, and without any danger."
2297,Are you serious?,Speak’st thou in sober meanings?
2298,"I swear on my life, which I take pretty seriously, even if I am a magician.","By my life I do, which I tender dearly, though I say I am a magician."
2299,"Look, here comes someone who loves me, along with someone who loves her.","Look, here comes a lover of mine and a lover of hers."
2300,I don’t care.,I care not if I have.
2301,A faithful shepherd worships you.,You are there followed by a faithful shepherd.
2302,"Silvius, tell this youth what it means to be in love.","Good shepherd, tell this youth what ’tis to love."
2303,"It means being full of sighs and tears, like I am for Phoebe.","It is to be all made of sighs and tears, And so am I for Phoebe."
2304,And like I am for Ganymede.,And I for Ganymede.
2305,And like I am for Rosalind.,And I for Rosalind.
2306,And like I am for no woman.,And I for no woman.
2307,"It means being faithful and ready to serve, just like I am for Phoebe.","It is to be all made of faith and service, And so am I for Phoebe."
2308,And like I am for Ganymede.,And I for Ganymede.
2309,And like I am for Rosalind.,And I for Rosalind.
2310,And like I am for no woman.,And I for no woman.
2311,"It means being filled with fantasy; with passion and wishes; with adoration, loyalty, and devotion.","It is to be all made of fantasy, All made of passion and all made of wishes, All adoration, duty, and observance, All humbleness, all patience and impatience, All purity, all trial, all observance, And so am I for Phoebe."
2312,And I for Rosalind.,And so am I for Rosalind.
2313,And I for no woman.,And so am I for no woman.
2314,"Since you know all this is true, why do you blame me for loving you?","If this be so, why blame you me to love you?"
2315,And why do you blame me for loving you?,"If this be so, why blame you me to love you?"
2316,And why do you blame me for loving you?,"If this be so, why blame you me to love you?"
2317,Who are you talking to?,"Why do you speak, too, “Why blame you me to love you?”?"
2318,I’m saying it to the girl who isn’t here and doesn’t hear me.,"To her that is not here, nor doth not hear."
2319,"All right, stop this.","Pray you, no more of this."
2320,You sound like a pack of wolves howling at the moon.,Tis like the howling of Irish wolves against the moon.
2321,"As long as I’m alive, I’ll be here.","I’ll not fail, if I live."
2322,Me too.,Nor I.
2323,Me too.,Nor I.
2324,"Tomorrow is the happy day, Audrey.","Tomorrow is the joyful day, Audrey."
2325,We’ll be married tomorrow.,Tomorrow will we be married.
2326,I hope it doesn’t make me unchaste that I really want to be a married woman.,"I do desire it with all my heart, and I hope it is no dishonest desire to desire to be a woman of the world."
2327,Here come two of Duke Senior’s pages.,Here comes two of the banished duke’s pages.
2328,"Good afternoon, good gentleman.","Well met, honest gentleman."
2329,It really is good to see you.,"By my troth, well met."
